Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Padre Coloma,Colegio Público,Calle Gutierrez Canales 19,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Padre Mariana,Colegio Público,Ronda Sur 145,Concordia,Calle Arroyo del Olivar 6
Colegio Público Padre Poveda,Colegio Público,Avenida Alfonso Xiii 23,Corazón de María,Calle Santa Hortensia 31
Colegio Público Palacio Valdés,Colegio Público,Paseo Prado 38,Almadén,Calle Almadén 28
Colegio Público Palomeras Bajas,Colegio Público,Calle Felipe De Diego 6,Concordia,Calle Arroyo del Olivar 6
Colegio Público Parque Aluche,Colegio Público,Calle Quero 47,Caramuel,Calle Caramuel 51
Colegio Público Parque Eugenia de Montijo,Colegio Público,Calle Parque Eugenia De Montijo 28,Caramuel,Calle Caramuel 51
Colegio Público Pasamonte,Colegio Público,Avenida Doctor Garcia Tapia 47,Marroquina,Calle Camino de los Vinateros 108
Colegio Público Patriarca Obispo Eijo y Garay,Colegio Público,Calle Lopez De Hoyos 40,Velázquez 130,Calle Velázquez 130
Colegio Público Pedro Duque,Colegio Público,Calle Marmolina 5,Pavones,Calle Hacienda de Pavones 342
Colegio Público Perú,Colegio Público,Calle Baleares 18,San Delfín,Calle San Delfín 9
Colegio Público Pi I Margall,Colegio Público,Plaza Dos De Mayo 2,San Andrés,Calle San Andrés 18
Colegio Público Pinar de San José,Colegio Público,Calle Patrimonio De La Humanidad 39,Caramuel,Calle Caramuel 51
Colegio Público Pinar del Rey,Colegio Público,Avenida San Luis 23,Pío XII,Avenida Pío XII 3
Colegio Público Pintor Rosales,Colegio Público,Calle Principe De Vergara 139,María Francisca 1,Calle María Francisca 1
Colegio Público Plácido Domingo,Colegio Público,Calle Tejo 5,Méndez Álvaro,Calle Retama 5
Colegio Público Portugal,Colegio Público,Calle Juan Alvarez Mendizabal 20,Ventura Rodríguez,Calle Duque de Liria
Colegio Público Pradolongo,Colegio Público,Calle Parque De La Paloma 9,San Delfín,Calle San Delfín 9
Colegio Público Príncipe de Asturias,Colegio Público,Calle Kant 2,Pedro Rico,Calle Pedro Rico 4
Colegio Público Puerto Rico,Colegio Público,Calle Segura 74,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Pío Baroja,Colegio Público,Calle Luis De Hoyos Sainz 84,Pavones,Calle Hacienda de Pavones 342
Colegio Público Pío XII,Colegio Público,Calle Delfin 2,Remonta,Calle Azucenas 1
Colegio Público Rabindranath Tagore,Colegio Público,Calle Julio Palacios 35,Pedro Rico,Calle Pedro Rico 4
Colegio Público Ramiro de Maeztu,Colegio Público,Calle Serrano 127,Serrano 113,Calle Serrano 113B
